tag,mode,target,draft,tp,K,F,N,alpha,phit,target_fits,draft_fits,target_step_ms,target_verify_ms,draft_step_ms,draft_total_ms,prespec_ms,e2e_ms,avg_tokens,avg_rounds,miss_rate,throughput_tok_s
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,4,0,128,0.9500,0.0000,1,1,20.3348,18.9970,3.2443,12.9772,0.0000,916.2311,129.7667,28.8333,0.0000,141.6309
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,0.9500,0.8500,1,1,0.0000,18.7752,3.2315,12.9260,14.0299,611.0033,129.7667,28.8333,0.1353,212.3829
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,6,0,128,0.9500,0.0000,1,1,20.3429,19.1511,3.2484,19.4906,0.0000,828.9146,131.1667,21.6000,0.0000,158.2391
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,6,4,128,0.9500,0.8500,1,1,0.0000,18.8796,3.2339,19.4032,21.1233,539.0297,131.1667,21.6000,0.1235,243.3385
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,8,0,128,0.9500,0.0000,1,1,20.3398,19.2170,3.2439,25.9515,0.0000,792.2670,131.8000,17.6333,0.0000,166.3581
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,8,4,128,0.9500,0.8500,1,1,0.0000,18.9837,3.2256,25.8045,28.0751,592.7878,131.8000,17.6333,0.1285,222.3392
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,1,0,128,1.0000,0.0000,1,1,20.3252,20.5361,3.2394,3.2394,0.0000,1508.3173,128.0000,64.0000,0.0000,84.8628
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,1,4,128,1.0000,0.8500,1,1,0.0000,20.3391,3.2264,3.2264,3.4963,1340.1459,128.0000,64.0000,0.1396,95.5120
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,2,0,128,1.0000,0.0000,1,1,20.3348,19.0673,3.2426,6.4853,0.0000,1088.6940,129.0000,43.0000,0.0000,118.4906
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,2,4,128,1.0000,0.8500,1,1,0.0000,18.8486,3.2224,6.4447,6.9831,858.8298,129.0000,43.0000,0.1364,150.2044
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,4,0,128,1.0000,0.0000,1,1,20.3387,19.0459,3.2428,12.9710,0.0000,825.5632,130.0000,26.0000,0.0000,157.4683
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,4,4,128,1.0000,0.8500,1,1,0.0000,18.7829,3.2326,12.9303,14.0157,552.5876,130.0000,26.0000,0.1346,235.2568
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,6,0,128,1.0000,0.0000,1,1,20.3340,18.9708,3.2389,19.4333,0.0000,728.4089,133.0000,19.0000,0.0000,182.5897
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,6,4,128,1.0000,0.8500,1,1,0.0000,18.8881,3.2281,19.3688,20.9615,477.4128,133.0000,19.0000,0.1281,278.5849
RESULT,sd,Llama-3.1-8B,Llama-3.2-1B,1,8,0,128,1.0000,0.0000,1,1,20.3124,19.1878,3.2348,25.8787,0.0000,673.1459,135.0000,15.0000,0.0000,200.5509
RESULT,ssd,Llama-3.1-8B,Llama-3.2-1B,1,8,4,128,1.0000,0.8500,1,1,0.0000,18.9856,3.2269,25.8155,28.0385,510.8568,135.0000,15.0000,0.1267,264.2619
